Wavelength (nm),N2 Baseline,0.15P DMMP,0.25P DMMP,0.50P DMMP,0.15P DCP,0.25P DCP,0.50 DCP,0.15P EtOH,0.25P EtOH,0.50P EtOH,0.15P MeOH,0.25P MeOH,0.50P MeOH,0.15P Water,0.25P Water,0.50P Water
709.961,0.193683,-1.2884,-0.854617,-1.11157,0.0409033,0.118412,0.276957,-3.57826,-5.76647,-7.45677,-1.72201,-1.22098,-2.5268,-1.79826,-1.90195,-4.16825
710.299,0.190856,-1.27863,-0.848383,-1.1021,0.0314798,0.11108,0.268017,-3.57422,-5.76731,-7.45556,-1.71096,-1.19781,-2.50071,-1.79201,-1.89249,-4.17709
710.636,0.18806,-1.26849,-0.84217,-1.09232,0.0215412,0.103241,0.25879,-3.5705,-5.76848,-7.45429,-1.69955,-1.17406,-2.47417,-1.78594,-1.88293,-4.18563
710.973,0.185299,-1.25801,-0.836036,-1.08228,0.0111087,0.0949367,0.249327,-3.56714,-5.76998,-7.45298,-1.68781,-1.14977,-2.44718,-1.78004,-1.87326,-4.19381
711.31,0.182575,-1.24726,-0.830038,-1.07205,0.000205577,0.0862128,0.239675,-3.56412,-5.77181,-7.45163,-1.67577,-1.12492,-2.41974,-1.77434,-1.86349,-4.20161
711.647,0.17989,-1.23629,-0.824229,-1.0617,-0.0111428,0.0771151,0.229885,-3.56147,-5.77397,-7.45025,-1.66347,-1.09955,-2.39187,-1.76883,-1.85361,-4.20896
711.985,0.177246,-1.22515,-0.818664,-1.05127,-0.0229087,0.0676911,0.220007,-3.55919,-5.77646,-7.44883,-1.65094,-1.07368,-2.36356,-1.76353,-1.84364,-4.21585
712.322,0.174645,-1.2139,-0.813393,-1.04084,-0.0350626,0.0579891,0.21009,-3.55728,-5.77928,-7.44738,-1.63821,-1.04731,-2.33484,-1.75843,-1.83357,-4.22223
712.659,0.172089,-1.20258,-0.808465,-1.03045,-0.0475723,0.0480587,0.200185,-3.55574,-5.78242,-7.44591,-1.62532,-1.02047,-2.30571,-1.75353,-1.8234,-4.22806
712.996,0.16958,-1.19125,-0.803923,-1.02017,-0.0604037,0.03795,0.190341,-3.55458,-5.78589,-7.44441,-1.61229,-0.993191,-2.27619,-1.74885,-1.81314,-4.23331
713.333,0.16712,-1.17995,-0.79981,-1.01004,-0.0735206,0.0277138,0.180607,-3.55379,-5.78968,-7.4429,-1.59917,-0.965498,-2.24629,-1.74436,-1.80279,-4.23794
713.669,0.164711,-1.16873,-0.796162,-1.00013,-0.0868844,0.0174014,0.171033,-3.55338,-5.79379,-7.44137,-1.58597,-0.937418,-2.21604,-1.74008,-1.79236,-4.24191
714.006,0.162353,-1.15763,-0.793012,-0.990476,-0.100455,0.00706413,0.161666,-3.55333,-5.79822,-7.43983,-1.57274,-0.908983,-2.18545,-1.736,-1.78186,-4.24521
714.343,0.16005,-1.14669,-0.790387,-0.981125,-0.114189,-0.00324619,0.152556,-3.55363,-5.80296,-7.43827,-1.5595,-0.880224,-2.15455,-1.73211,-1.77129,-4.24779
714.68,0.157802,-1.13594,-0.788311,-0.972118,-0.128042,-0.0134779,0.143748,-3.55429,-5.80801,-7.4367,-1.54628,-0.851175,-2.12335,-1.72841,-1.76065,-4.24963
715.016,0.155611,-1.12542,-0.786799,-0.963492,-0.141968,-0.0235793,0.13529,-3.55529,-5.81335,-7.43512,-1.5331,-0.821869,-2.09188,-1.72488,-1.74997,-4.2507
715.353,0.153478,-1.11515,-0.785863,-0.955281,-0.15592,-0.033499,0.127227,-3.55662,-5.819,-7.43354,-1.51998,-0.792341,-2.06015,-1.72152,-1.73924,-4.25099
715.69,0.151404,-1.10515,-0.78551,-0.947512,-0.169847,-0.0431858,0.119603,-3.55826,-5.82492,-7.43194,-1.50695,-0.762626,-2.0282,-1.71831,-1.72849,-4.25048
716.026,0.14939,-1.09545,-0.785738,-0.940209,-0.183699,-0.052589,0.112461,-3.56019,-5.83113,-7.43033,-1.49403,-0.732758,-1.99604,-1.71525,-1.71771,-4.24916
716.363,0.147437,-1.08606,-0.786541,-0.93339,-0.197423,-0.061658,0.105845,-3.56241,-5.83761,-7.42872,-1.48122,-0.702773,-1.9637,-1.71232,-1.70694,-4.247
716.699,0.145546,-1.07699,-0.787906,-0.92707,-0.210968,-0.0703433,0.0997949,-3.5649,-5.84434,-7.42709,-1.46853,-0.672703,-1.93119,-1.70951,-1.69618,-4.244
717.035,0.143718,-1.06824,-0.789815,-0.921257,-0.224279,-0.0785956,0.0943507,-3.56763,-5.85133,-7.42545,-1.45599,-0.64258,-1.89853,-1.70681,-1.68544,-4.24015
717.372,0.141952,-1.05981,-0.792243,-0.915953,-0.237302,-0.0863664,0.0895508,-3.57058,-5.85854,-7.4238,-1.44358,-0.612437,-1.86574,-1.7042,-1.67474,-4.23546
717.708,0.140251,-1.0517,-0.79516,-0.911159,-0.249983,-0.0936081,0.0854322,-3.57374,-5.86598,-7.42214,-1.43131,-0.582303,-1.83283,-1.70166,-1.6641,-4.22991
718.044,0.138613,-1.04389,-0.798529,-0.906865,-0.262269,-0.100274,0.0820302,-3.57708,-5.87363,-7.42046,-1.41917,-0.552204,-1.79981,-1.69919,-1.65354,-4.22352
718.38,0.13704,-1.03639,-0.802309,-0.903062,-0.274105,-0.106318,0.0793784,-3.58058,-5.88146,-7.41876,-1.40717,-0.522167,-1.7667,-1.69676,-1.64308,-4.21629
718.717,0.13553,-1.02915,-0.806453,-0.89973,-0.285439,-0.111695,0.0775088,-3.58422,-5.88948,-7.41704,-1.39529,-0.492215,-1.7335,-1.69437,-1.63272,-4.20824
719.053,0.134085,-1.02217,-0.810909,-0.89685,-0.296218,-0.116362,0.0764514,-3.58798,-5.89764,-7.4153,-1.38351,-0.462368,-1.70022,-1.69199,-1.6225,-4.19936
719.389,0.132704,-1.01541,-0.815621,-0.894393,-0.306392,-0.120276,0.0762343,-3.59182,-5.90595,-7.41353,-1.37182,-0.432644,-1.66685,-1.68961,-1.61243,-4.18967
719.725,0.131387,-1.00884,-0.820528,-0.89233,-0.315911,-0.123396,0.0768833,-3.59573,-5.91438,-7.41174,-1.36021,-0.403056,-1.6334,-1.68721,-1.60252,-4.1792
720.061,0.130133,-1.00243,-0.825566,-0.890624,-0.324729,-0.125682,0.0784222,-3.59968,-5.92291,-7.40991,-1.34864,-0.373619,-1.59986,-1.68479,-1.5928,-4.16796
720.397,0.128943,-0.996142,-0.830667,-0.889238,-0.3328,-0.127096,0.0808725,-3.60365,-5.93151,-7.40805,-1.3371,-0.344339,-1.56622,-1.68232,-1.58329,-4.15598
720.732,0.127816,-0.98993,-0.835761,-0.888127,-0.340081,-0.127601,0.0842531,-3.60761,-5.94018,-7.40615,-1.32555,-0.315224,-1.53247,-1.67979,-1.574,-4.14327
721.068,0.126751,-0.983753,-0.840776,-0.887246,-0.346533,-0.127163,0.0885807,-3.61154,-5.94888,-7.4042,-1.31397,-0.286275,-1.4986,-1.67719,-1.56496,-4.12987
721.404,0.125747,-0.977564,-0.845637,-0.886545,-0.352118,-0.125749,0.0938689,-3.61542,-5.95759,-7.40221,-1.30233,-0.257493,-1.46459,-1.6745,-1.55617,-4.11579
721.74,0.124804,-0.971317,-0.85027,-0.885973,-0.356803,-0.123328,0.100129,-3.61922,-5.9663,-7.40017,-1.29058,-0.228874,-1.43042,-1.67171,-1.54765,-4.10108
722.075,0.123922,-0.964963,-0.854596,-0.885477,-0.360556,-0.119873,0.107369,-3.62293,-5.97497,-7.39807,-1.2787,-0.200413,-1.39607,-1.6688,-1.53942,-4.08576
722.411,0.123098,-0.958452,-0.858542,-0.884998,-0.363351,-0.115356,0.115595,-3.62652,-5.98359,-7.39592,-1.26666,-0.172101,-1.3615,-1.66578,-1.5315,-4.06986
722.746,0.122334,-0.951736,-0.862031,-0.884482,-0.365164,-0.109756,0.124808,-3.62997,-5.99213,-7.3937,-1.25442,-0.143928,-1.32671,-1.66262,-1.52389,-4.05342
723.082,0.121627,-0.944763,-0.864988,-0.883869,-0.365976,-0.10305,0.135008,-3.63326,-6.00057,-7.39142,-1.24194,-0.11588,-1.29165,-1.65931,-1.5166,-4.03648
723.417,0.120977,-0.937485,-0.867342,-0.8831,-0.365772,-0.0952228,0.146191,-3.63638,-6.00889,-7.38907,-1.22918,-0.0879436,-1.2563,-1.65585,-1.50966,-4.01906
723.753,0.120383,-0.929855,-0.869021,-0.882117,-0.364539,-0.0862587,0.158351,-3.63931,-6.01706,-7.38664,-1.21612,-0.0601016,-1.22062,-1.65223,-1.50306,-4.0012
724.088,0.119844,-0.921826,-0.869958,-0.880861,-0.362271,-0.0761469,0.171475,-3.64203,-6.02506,-7.38414,-1.20273,-0.0323364,-1.18459,-1.64844,-1.49681,-3.98294
724.423,0.119359,-0.913354,-0.870088,-0.879273,-0.358965,-0.0648798,0.185552,-3.64453,-6.03288,-7.38155,-1.18896,-0.00462936,-1.14817,-1.64447,-1.49091,-3.96433
724.759,0.118927,-0.904396,-0.86935,-0.877297,-0.35462,-0.0524534,0.200563,-3.6468,-6.04048,-7.37887,-1.1748,0.0230391,-1.11133,-1.64032,-1.48538,-3.94539
725.094,0.118548,-0.894914,-0.86769,-0.874878,-0.349243,-0.0388675,0.216489,-3.64883,-6.04785,-7.3761,-1.16021,0.0506887,-1.07403,-1.63599,-1.48021,-3.92616
725.429,0.11822,-0.884871,-0.865053,-0.871962,-0.342842,-0.0241257,0.233307,-3.65061,-6.05497,-7.37324,-1.14517,0.0783393,-1.03626,-1.63147,-1.47541,-3.90669
725.764,0.117943,-0.874236,-0.861395,-0.868497,-0.33543,-0.0082359,0.250988,-3.65213,-6.06182,-7.37027,-1.12966,0.10601,-0.997977,-1.62675,-1.47096,-3.88701
726.099,0.117716,-0.86298,-0.856673,-0.864437,-0.327025,0.00879019,0.269505,-3.65339,-6.06838,-7.3672,-1.11367,0.133721,-0.959156,-1.62184,-1.46688,-3.86716
726.434,0.117539,-0.851078,-0.850852,-0.859734,-0.317646,0.0269364,0.288824,-3.65438,-6.07464,-7.36402,-1.09717,0.161489,-0.919774,-1.61674,-1.46314,-3.84718
726.769,0.117409,-0.838511,-0.843904,-0.854347,-0.307319,0.0461825,0.308908,-3.65511,-6.08059,-7.36073,-1.08015,0.189332,-0.879808,-1.61143,-1.45975,-3.8271
727.104,0.117328,-0.825264,-0.835803,-0.848237,-0.296071,0.0665038,0.329721,-3.65557,-6.08621,-7.35732,-1.06262,0.217264,-0.839241,-1.60594,-1.4567,-3.80697
727.439,0.117294,-0.811326,-0.826535,-0.84137,-0.283933,0.0878712,0.351219,-3.65577,-6.09149,-7.35379,-1.04457,0.245299,-0.798056,-1.60024,-1.45397,-3.78681
727.774,0.117307,-0.796692,-0.816087,-0.833715,-0.27094,0.110252,0.373361,-3.65572,-6.09641,-7.35013,-1.02599,0.273449,-0.756242,-1.59436,-1.45155,-3.76667
728.108,0.117367,-0.781363,-0.804457,-0.825246,-0.257127,0.133607,0.396098,-3.65542,-6.10098,-7.34635,-1.0069,0.301722,-0.713792,-1.58828,-1.44943,-3.74658
728.443,0.117472,-0.765342,-0.791648,-0.815942,-0.242535,0.157897,0.419384,-3.65487,-6.10519,-7.34243,-0.987304,0.330126,-0.670703,-1.58201,-1.4476,-3.72657
728.778,0.117623,-0.748641,-0.777669,-0.805785,-0.227206,0.183074,0.443168,-3.6541,-6.10902,-7.33837,-0.967219,0.358665,-0.626975,-1.57556,-1.44603,-3.70668
729.112,0.11782,-0.731275,-0.762536,-0.794763,-0.211184,0.209088,0.467398,-3.65312,-6.11248,-7.33416,-0.946663,0.38734,-0.582616,-1.56893,-1.44471,-3.68694
729.447,0.118062,-0.713264,-0.746272,-0.782868,-0.194515,0.235888,0.492021,-3.65193,-6.11557,-7.32981,-0.92566,0.416151,-0.537636,-1.56212,-1.44362,-3.66737
729.781,0.11835,-0.694635,-0.728906,-0.770099,-0.177246,0.263414,0.516983,-3.65057,-6.11829,-7.32531,-0.904238,0.445093,-0.49205,-1.55514,-1.44274,-3.64801
730.116,0.118682,-0.675418,-0.710471,-0.756458,-0.159426,0.291607,0.542229,-3.64903,-6.12064,-7.32065,-0.882427,0.474159,-0.445878,-1.54798,-1.44205,-3.62888
730.45,0.119061,-0.655649,-0.69101,-0.741952,-0.141106,0.320403,0.567702,-3.64735,-6.12263,-7.31584,-0.860264,0.50334,-0.399147,-1.54067,-1.44152,-3.61
730.785,0.119485,-0.635367,-0.670568,-0.726594,-0.122336,0.349736,0.593346,-3.64555,-6.12426,-7.31085,-0.837788,0.532624,-0.351885,-1.5332,-1.44113,-3.5914
731.119,0.119955,-0.614617,-0.649196,-0.7104,-0.103168,0.379535,0.619105,-3.64365,-6.12554,-7.3057,-0.815041,0.561996,-0.304127,-1.52558,-1.44085,-3.5731
731.453,0.120471,-0.593448,-0.626952,-0.693393,-0.0836536,0.409731,0.644924,-3.64166,-6.12648,-7.30037,-0.792068,0.591438,-0.255912,-1.51781,-1.44067,-3.55512
731.787,0.121033,-0.571912,-0.603894,-0.675599,-0.0638441,0.440249,0.670746,-3.63962,-6.1271,-7.29486,-0.768918,0.620931,-0.207282,-1.5099,-1.44056,-3.53746
732.121,0.121642,-0.550064,-0.580088,-0.657049,-0.0437912,0.471016,0.696518,-3.63755,-6.1274,-7.28917,-0.745641,0.650453,-0.158283,-1.50187,-1.44049,-3.52015
732.456,0.122299,-0.527964,-0.555603,-0.637778,-0.0235461,0.501954,0.722184,-3.63547,-6.1274,-7.28329,-0.72229,0.67998,-0.108965,-1.49371,-1.44043,-3.5032
732.79,0.123004,-0.505674,-0.530509,-0.617826,-0.0031592,0.532988,0.747694,-3.63341,-6.12711,-7.27721,-0.698918,0.709488,-0.059381,-1.48543,-1.44037,-3.48661
733.124,0.123757,-0.483257,-0.50488,-0.597234,0.01732,0.56404,0.772997,-3.63139,-6.12656,-7.27094,-0.675582,0.738949,-0.00958561,-1.47705,-1.44027,-3.47039
733.458,0.124559,-0.46078,-0.478793,-0.57605,0.0378433,0.595033,0.798044,-3.62943,-6.12576,-7.26446,-0.652337,0.768337,0.0403637,-1.46857,-1.44012,-3.45454
733.792,0.125411,-0.43831,-0.452325,-0.554322,0.0583634,0.625891,0.822788,-3.62757,-6.12472,-7.25778,-0.629239,0.797623,0.0904083,-1.46001,-1.43988,-3.43907
734.125,0.126313,-0.415916,-0.425555,-0.532104,0.078835,0.656538,0.847186,-3.62581,-6.12347,-7.25088,-0.606346,0.826778,0.140488,-1.45138,-1.43953,-3.42397
734.459,0.127266,-0.393668,-0.398563,-0.50945,0.099214,0.6869,0.871194,-3.6242,-6.12202,-7.24376,-0.583712,0.855775,0.190543,-1.44268,-1.43906,-3.40925
734.793,0.12827,-0.371635,-0.371428,-0.486417,0.119459,0.716902,0.894775,-3.62273,-6.12038,-7.23643,-0.561392,0.884583,0.240512,-1.43393,-1.43843,-3.39488
735.127,0.129327,-0.349888,-0.344229,-0.463065,0.139529,0.746476,0.917892,-3.62144,-6.11859,-7.22886,-0.539441,0.913177,0.290336,-1.42515,-1.43762,-3.38086
735.46,0.130437,-0.328495,-0.317045,-0.439454,0.159386,0.77555,0.94051,-3.62033,-6.11665,-7.22107,-0.517909,0.941528,0.339955,-1.41635,-1.43662,-3.3672
735.794,0.1316,-0.307525,-0.289954,-0.415645,0.178996,0.804061,0.962601,-3.61944,-6.11459,-7.21304,-0.496846,0.969613,0.389312,-1.40755,-1.43541,-3.35386
736.127,0.132817,-0.287045,-0.263029,-0.391701,0.198323,0.831944,0.984136,-3.61875,-6.11241,-7.20477,-0.476299,0.997406,0.438353,-1.39877,-1.43396,-3.34083
736.461,0.134089,-0.267119,-0.236346,-0.367685,0.217338,0.85914,1.00509,-3.6183,-6.11013,-7.19625,-0.456312,1.02489,0.487024,-1.39002,-1.43226,-3.32811
736.794,0.135416,-0.247811,-0.209973,-0.343659,0.236012,0.885593,1.02545,-3.61808,-6.10777,-7.18749,-0.436925,1.05203,0.535275,-1.38133,-1.4303,-3.31567
737.128,0.136798,-0.229181,-0.18398,-0.319685,0.254318,0.91125,1.04518,-3.6181,-6.10534,-7.17847,-0.418175,1.07883,0.583061,-1.37273,-1.42805,-3.30349
737.461,0.138236,-0.211286,-0.15843,-0.295824,0.272233,0.936063,1.06428,-3.61837,-6.10284,-7.1692,-0.400097,1.10526,0.630339,-1.36423,-1.4255,-3.29156
737.795,0.13973,-0.194181,-0.133384,-0.272136,0.289736,0.959987,1.08274,-3.61888,-6.10028,-7.15967,-0.382718,1.13131,0.677072,-1.35586,-1.42265,-3.27984
738.128,0.14128,-0.177916,-0.108898,-0.248679,0.306808,0.982984,1.10054,-3.61964,-6.09768,-7.14988,-0.366065,1.15698,0.723224,-1.34765,-1.41947,-3.26833
738.461,0.142887,-0.162537,-0.0850259,-0.225511,0.323432,1.00502,1.11769,-3.62063,-6.09504,-7.13983,-0.350158,1.18226,0.768768,-1.33963,-1.41597,-3.25699
738.794,0.14455,-0.148088,-0.0618149,-0.202683,0.339595,1.02606,1.13417,-3.62185,-6.09235,-7.12951,-0.335013,1.20714,0.813679,-1.33182,-1.41214,-3.24581
739.127,0.146269,-0.134606,-0.0393087,-0.180249,0.355285,1.04608,1.14998,-3.62329,-6.08962,-7.11892,-0.320643,1.23162,0.857939,-1.32427,-1.40796,-3.23476
739.46,0.148044,-0.122125,-0.0175462,-0.158256,0.370493,1.06505,1.16514,-3.62493,-6.08685,-7.10807,-0.307054,1.25572,0.901534,-1.31699,-1.40343,-3.22382
739.793,0.149875,-0.110673,0.00343888,-0.136748,0.385212,1.08297,1.17963,-3.62677,-6.08404,-7.09695,-0.29425,1.27942,0.944455,-1.31003,-1.39855,-3.21296
740.126,0.151761,-0.100275,0.0236175,-0.115768,0.399437,1.09982,1.19347,-3.62878,-6.08117,-7.08557,-0.282229,1.30275,0.986698,-1.30341,-1.39332,-3.20216
740.459,0.153702,-0.0909494,0.0429658,-0.0953539,0.413165,1.1156,1.20668,-3.63094,-6.07825,-7.07392,-0.270985,1.32572,1.02827,-1.29717,-1.38774,-3.19141
740.792,0.155696,-0.0827092,0.0614647,-0.0755382,0.426394,1.13029,1.21924,-3.63323,-6.07526,-7.062,-0.260507,1.34834,1.06917,-1.29135,-1.3818,-3.18067
741.125,0.157743,-0.075563,0.0791004,-0.0563512,0.439126,1.1439,1.23119,-3.63563,-6.07219,-7.04983,-0.250783,1.37062,1.10941,-1.28597,-1.37551,-3.16993
741.458,0.159842,-0.0695139,0.0958638,-0.0378182,0.451362,1.15644,1.24252,-3.63811,-6.06903,-7.03739,-0.241794,1.39259,1.14901,-1.28108,-1.36887,-3.15918
741.79,0.161992,-0.0645598,0.111751,-0.0199602,0.463106,1.16791,1.25326,-3.64064,-6.06577,-7.0247,-0.233519,1.41428,1.18798,-1.27669,-1.36188,-3.14838
742.123,0.164191,-0.0606931,0.126762,-0.00279388,0.474362,1.17833,1.26342,-3.64321,-6.06239,-7.01176,-0.225933,1.43569,1.22636,-1.27286,-1.35456,-3.13752
742.456,0.166438,-0.0579013,0.140902,0.0136686,0.485137,1.18773,1.27302,-3.64577,-6.05888,-6.99858,-0.219008,1.45685,1.26417,-1.26959,-1.3469,-3.12659
742.788,0.168731,-0.0561668,0.15418,0.0294193,0.495439,1.1961,1.28206,-3.64831,-6.05523,-6.98515,-0.212715,1.4778,1.30143,-1.26694,-1.33892,-3.11557
743.121,0.171069,-0.0554671,0.16661,0.044455,0.505274,1.20349,1.29058,-3.65079,-6.05141,-6.9715,-0.207022,1.49855,1.33819,-1.26491,-1.33061,-3.10444
743.453,0.173449,-0.0557747,0.17821,0.0587765,0.514651,1.20992,1.29858,-3.65319,-6.04742,-6.95762,-0.201893,1.51913,1.37447,-1.26354,-1.32199,-3.09319
743.786,0.17587,-0.0570578,0.189001,0.0723888,0.523581,1.21542,1.30608,-3.65547,-6.04323,-6.94354,-0.197293,1.53957,1.41031,-1.26284,-1.31308,-3.08181
744.118,0.178329,-0.0592801,0.199006,0.0853008,0.532072,1.22002,1.3131,-3.65761,-6.03884,-6.92924,-0.193185,1.55989,1.44575,-1.26284,-1.30387,-3.07029
744.45,0.180824,-0.0624011,0.208255,0.0975254,0.540136,1.22376,1.31966,-3.65959,-6.03422,-6.91476,-0.189531,1.58012,1.48082,-1.26355,-1.29438,-3.05861
744.782,0.183353,-0.0663764,0.216777,0.109079,0.547782,1.22667,1.32578,-3.66138,-6.02938,-6.90009,-0.186294,1.60026,1.51556,-1.26498,-1.28461,-3.04677
745.115,0.185912,-0.0711583,0.224606,0.119981,0.555022,1.22879,1.33146,-3.66295,-6.02429,-6.88525,-0.183435,1.62036,1.55002,-1.26715,-1.27459,-3.03475
745.447,0.188499,-0.0766956,0.231776,0.130255,0.561866,1.23016,1.33673,-3.66429,-6.01894,-6.87026,-0.180916,1.64042,1.58421,-1.27005,-1.26431,-3.02255
745.779,0.191112,-0.082934,0.238325,0.139925,0.568326,1.23082,1.3416,-3.66538,-6.01333,-6.85513,-0.178701,1.66045,1.61819,-1.27369,-1.25379,-3.01017
746.111,0.193747,-0.0898168,0.244292,0.14902,0.574411,1.23082,1.34609,-3.66619,-6.00745,-6.83987,-0.176753,1.68048,1.65197,-1.27807,-1.24305,-2.99758
746.443,0.196401,-0.0972852,0.249717,0.15757,0.580134,1.23019,1.35022,-3.66672,-6.00129,-6.82451,-0.175038,1.70051,1.68559,-1.28317,-1.23209,-2.98479
746.775,0.19907,-0.105278,0.25464,0.165607,0.585504,1.22898,1.354,-3.66696,-5.99486,-6.80905,-0.173523,1.72054,1.71907,-1.28898,-1.22092,-2.97179
747.107,0.201753,-0.113733,0.259103,0.173163,0.590532,1.22724,1.35744,-3.66688,-5.98816,-6.79352,-0.172176,1.74058,1.75244,-1.2955,-1.20955,-2.95858
747.439,0.204445,-0.122587,0.263148,0.180273,0.595228,1.225,1.36056,-3.6665,-5.98118,-6.77792,-0.17097,1.76063,1.78571,-1.30269,-1.198,-2.94514
747.771,0.207142,-0.131775,0.266817,0.186971,0.599602,1.2223,1.36337,-3.6658,-5.97393,-6.7623,-0.169878,1.78068,1.81891,-1.31053,-1.18627,-2.93148
748.102,0.209842,-0.141233,0.27015,0.193293,0.603664,1.2192,1.36589,-3.66478,-5.96642,-6.74665,-0.168875,1.80073,1.85203,-1.31899,-1.17437,-2.91758
748.434,0.212541,-0.150896,0.273189,0.199273,0.607423,1.21573,1.36813,-3.66345,-5.95866,-6.73101,-0.16794,1.82076,1.8851,-1.32805,-1.16232,-2.90345
748.766,0.215235,-0.1607,0.275974,0.204947,0.61089,1.21193,1.37011,-3.6618,-5.95065,-6.71538,-0.167056,1.84075,1.9181,-1.33765,-1.15012,-2.88907
749.097,0.21792,-0.170582,0.278544,0.210349,0.614072,1.20783,1.37183,-3.65986,-5.94242,-6.6998,-0.166206,1.86069,1.95104,-1.34777,-1.13778,-2.87445
749.429,0.220593,-0.180479,0.280937,0.21551,0.616978,1.20349,1.37331,-3.65762,-5.93398,-6.68429,-0.165378,1.88055,1.98391,-1.35835,-1.1253,-2.85957
749.76,0.223251,-0.190331,0.283189,0.220464,0.619617,1.19893,1.37457,-3.65511,-5.92535,-6.66886,-0.164563,1.9003,2.01669,-1.36935,-1.1127,-2.84444
750.092,0.225888,-0.200079,0.285335,0.22524,0.621998,1.19418,1.37562,-3.65233,-5.91655,-6.65354,-0.163753,1.91992,2.04939,-1.38072,-1.09999,-2.82905
750.423,0.228503,-0.209667,0.287408,0.229867,0.624128,1.18929,1.37647,-3.64931,-5.90759,-6.63834,-0.162945,1.93938,2.08196,-1.3924,-1.08716,-2.81339
750.755,0.23109,-0.219039,0.289439,0.234371,0.626014,1.18428,1.37714,-3.64605,-5.8985,-6.6233,-0.162138,1.95863,2.11439,-1.40435,-1.07422,-2.79746
751.086,0.233647,-0.228145,0.291457,0.238776,0.627666,1.17918,1.37764,-3.64259,-5.88931,-6.60843,-0.161333,1.97765,2.14666,-1.4165,-1.06119,-2.78126
751.417,0.23617,-0.236937,0.293488,0.243105,0.629089,1.17402,1.37798,-3.63895,-5.88004,-6.59376,-0.160535,1.9964,2.17873,-1.4288,-1.04806,-2.76479
751.748,0.238655,-0.245368,0.295558,0.247377,0.630291,1.16882,1.37818,-3.63515,-5.87071,-6.5793,-0.159749,2.01483,2.21056,-1.44119,-1.03484,-2.74804
752.079,0.241099,-0.253397,0.29769,0.25161,0.631278,1.1636,1.37825,-3.63121,-5.86136,-6.56508,-0.158985,2.03291,2.24212,-1.45361,-1.02154,-2.73101
752.411,0.243498,-0.260987,0.299903,0.255818,0.632058,1.15838,1.37821,-3.62715,-5.852,-6.55111,-0.158252,2.0506,2.27337,-1.466,-1.00815,-2.7137
752.742,0.245849,-0.268102,0.302215,0.260014,0.632636,1.15319,1.37807,-3.62302,-5.84267,-6.53743,-0.157563,2.06786,2.30428,-1.47829,-0.994687,-2.6961
753.073,0.248149,-0.274712,0.304643,0.264208,0.633017,1.14804,1.37784,-3.61882,-5.83338,-6.52404,-0.156932,2.08464,2.33479,-1.49044,-0.98115,-2.67823
753.404,0.250394,-0.28079,0.307201,0.268407,0.633208,1.14293,1.37755,-3.61458,-5.82417,-6.51097,-0.156372,2.10093,2.36487,-1.50239,-0.967543,-2.66007
753.734,0.252581,-0.286315,0.3099,0.272618,0.633214,1.13789,1.37721,-3.61034,-5.81507,-6.49824,-0.1559,2.11667,2.39446,-1.51407,-0.953869,-2.64164
754.065,0.254708,-0.291266,0.31275,0.276844,0.633038,1.13292,1.37682,-3.60611,-5.80608,-6.48586,-0.155532,2.13184,2.42354,-1.52544,-0.940131,-2.62293
754.396,0.256772,-0.29563,0.315759,0.281085,0.632685,1.12803,1.37641,-3.60191,-5.79724,-6.47385,-0.155284,2.1464,2.45205,-1.53644,-0.926333,-2.60394
754.727,0.258769,-0.299395,0.318933,0.285342,0.632158,1.12323,1.37599,-3.59777,-5.78857,-6.46223,-0.155174,2.16034,2.47996,-1.54703,-0.912479,-2.58469
755.057,0.260697,-0.302556,0.322277,0.289612,0.631461,1.11851,1.37558,-3.59371,-5.78009,-6.45101,-0.155217,2.17362,2.50723,-1.55716,-0.898572,-2.56518
755.388,0.262555,-0.305108,0.325792,0.293892,0.630595,1.11388,1.37518,-3.58975,-5.77182,-6.44021,-0.155429,2.18623,2.53381,-1.56678,-0.884615,-2.54541
755.719,0.264339,-0.307053,0.32948,0.298178,0.629563,1.10935,1.37481,-3.5859,-5.76378,-6.42983,-0.155826,2.19815,2.55967,-1.57586,-0.870613,-2.52539
756.049,0.266047,-0.308395,0.333341,0.302464,0.628366,1.10491,1.37449,-3.58218,-5.75598,-6.4199,-0.156422,2.20938,2.58478,-1.58436,-0.856571,-2.50514
756.38,0.267677,-0.30914,0.337374,0.306744,0.627003,1.10055,1.37423,-3.5786,-5.74844,-6.41042,-0.157229,2.2199,2.60912,-1.59224,-0.842493,-2.48465
756.71,0.269229,-0.309301,0.341575,0.31101,0.625476,1.09629,1.37403,-3.57518,-5.74117,-6.40139,-0.15826,2.22972,2.63265,-1.59948,-0.828384,-2.46395
757.041,0.270699,-0.30889,0.345941,0.315256,0.623783,1.09211,1.37392,-3.57191,-5.73418,-6.39284,-0.159523,2.23884,2.65535,-1.60606,-0.814251,-2.44303
757.371,0.272087,-0.307924,0.350468,0.319474,0.621924,1.08801,1.37391,-3.56882,-5.72748,-6.38476,-0.161027,2.24727,2.67721,-1.61194,-0.800099,-2.42193
757.701,0.273391,-0.306421,0.35515,0.323656,0.619897,1.084,1.374,-3.56589,-5.72109,-6.37717,-0.162777,2.25502,2.69823,-1.61711,-0.785934,-2.40064
758.031,0.27461,-0.304404,0.35998,0.327796,0.617699,1.08005,1.3742,-3.56314,-5.71501,-6.37006,-0.164777,2.26212,2.71838,-1.62157,-0.771766,-2.37917
