Wavelength (nm),N2 Baseline,0.15P DMMP,0.25P DMMP,0.50P DMMP,0.15P DCP,0.25P DCP,0.50 DCP,0.15P EtOH,0.25P EtOH,0.50P EtOH,0.15P MeOH,0.25P MeOH,0.50P MeOH,0.15P Water,0.25P Water,0.50P Water
675.297,0.389007,-1.38701,-1.16846,-1.21208,-0.30997,-0.529529,-0.507527,-3.41526,-5.31648,-6.26044,-1.75907,-1.83276,-3.41776,-1.50892,-1.25988,-1.69702
675.639,0.390043,-1.3831,-1.16386,-1.20682,-0.300825,-0.514612,-0.489755,-3.42183,-5.34459,-6.29231,-1.76603,-1.84079,-3.44287,-1.51416,-1.28939,-1.75576
675.982,0.390969,-1.37857,-1.15886,-1.20114,-0.291664,-0.499821,-0.471902,-3.42847,-5.37251,-6.32368,-1.77226,-1.84786,-3.46648,-1.51937,-1.31812,-1.81368
676.324,0.391785,-1.37341,-1.15347,-1.19506,-0.282511,-0.485208,-0.454034,-3.4352,-5.4002,-6.35454,-1.77775,-1.85401,-3.48861,-1.52454,-1.34607,-1.87078
676.666,0.392493,-1.36764,-1.14769,-1.18855,-0.273393,-0.470826,-0.436217,-3.44205,-5.42766,-6.38491,-1.78249,-1.85925,-3.5093,-1.52969,-1.37321,-1.92705
677.008,0.393094,-1.36125,-1.14154,-1.18162,-0.264335,-0.456722,-0.418517,-3.44904,-5.45486,-6.41477,-1.78647,-1.86362,-3.52856,-1.53482,-1.39956,-1.98249
677.35,0.393589,-1.35425,-1.13502,-1.17428,-0.255365,-0.442946,-0.400996,-3.45619,-5.48177,-6.44414,-1.78971,-1.86715,-3.54644,-1.53994,-1.42511,-2.03709
677.692,0.39398,-1.34666,-1.12814,-1.16652,-0.24651,-0.429543,-0.383718,-3.46352,-5.50837,-6.47301,-1.79222,-1.86988,-3.56296,-1.54506,-1.44986,-2.09085
678.034,0.394268,-1.33848,-1.12091,-1.15834,-0.237798,-0.416556,-0.366742,-3.47104,-5.53463,-6.5014,-1.79399,-1.87185,-3.57816,-1.55018,-1.47382,-2.14377
678.376,0.394454,-1.32975,-1.11334,-1.14976,-0.229256,-0.404026,-0.350125,-3.47877,-5.56053,-6.52929,-1.79506,-1.87309,-3.59207,-1.55531,-1.497,-2.19583
678.718,0.394541,-1.32048,-1.10543,-1.14078,-0.22091,-0.391992,-0.333922,-3.48671,-5.58604,-6.5567,-1.79543,-1.87366,-3.60474,-1.56047,-1.51943,-2.24703
679.059,0.39453,-1.31069,-1.09721,-1.13142,-0.212787,-0.380486,-0.318182,-3.49487,-5.61113,-6.58363,-1.79513,-1.87358,-3.61619,-1.56565,-1.54112,-2.29738
679.401,0.394422,-1.30042,-1.08868,-1.12169,-0.204912,-0.36954,-0.30295,-3.50325,-5.63578,-6.61008,-1.7942,-1.87291,-3.62647,-1.57086,-1.56208,-2.34687
679.743,0.394221,-1.28969,-1.07986,-1.1116,-0.197308,-0.35918,-0.288268,-3.51186,-5.65995,-6.63606,-1.79266,-1.8717,-3.63562,-1.57612,-1.58235,-2.39548
680.084,0.393928,-1.27854,-1.07076,-1.10119,-0.189997,-0.349428,-0.27417,-3.52067,-5.68362,-6.66156,-1.79054,-1.86999,-3.64368,-1.58143,-1.60195,-2.44323
680.426,0.393545,-1.267,-1.0614,-1.09046,-0.182999,-0.340302,-0.260687,-3.5297,-5.70677,-6.68659,-1.7879,-1.86782,-3.65068,-1.58679,-1.62091,-2.49011
680.768,0.393075,-1.25512,-1.05178,-1.07944,-0.176331,-0.331814,-0.247843,-3.53893,-5.72936,-6.71115,-1.78477,-1.86526,-3.65668,-1.59222,-1.63927,-2.53611
681.109,0.392518,-1.24294,-1.04194,-1.06817,-0.17001,-0.323972,-0.235657,-3.54834,-5.75137,-6.73525,-1.7812,-1.86233,-3.66171,-1.59773,-1.65704,-2.58123
681.45,0.391878,-1.23051,-1.03188,-1.05667,-0.164048,-0.316779,-0.224139,-3.55792,-5.77277,-6.75889,-1.77723,-1.8591,-3.66582,-1.60331,-1.67428,-2.62548
681.792,0.391157,-1.21786,-1.02162,-1.04497,-0.158453,-0.310234,-0.213296,-3.56765,-5.79354,-6.78207,-1.77291,-1.85562,-3.66904,-1.60899,-1.691,-2.66885
682.133,0.390357,-1.20506,-1.0112,-1.03312,-0.153232,-0.304328,-0.203126,-3.57751,-5.81365,-6.8048,-1.76831,-1.85191,-3.67142,-1.61476,-1.70724,-2.71133
682.475,0.38948,-1.19215,-1.00063,-1.02115,-0.148389,-0.299049,-0.193623,-3.58747,-5.83308,-6.82707,-1.76346,-1.84804,-3.673,-1.62064,-1.72304,-2.75294
682.816,0.388528,-1.17919,-0.98993,-1.0091,-0.143923,-0.29438,-0.184774,-3.59752,-5.85181,-6.84889,-1.75842,-1.84404,-3.6738,-1.62664,-1.73842,-2.79367
