Wavelength (nm),N2 Baseline,"DCP (Saturated, 5 nm)","DCP (Saturated, 10 nm)","DCP (Saturated, 15 nm)","DCP (Bottom, 5 nm)","DCP (Bottom, 10 nm)","DCP (Bottom, 15 nm)","DCP (Middle, 5 nm)","DCP (Middle, 10 nm)","DCM (Middle, 15 nm)","DCP (Top, 5 nm)","DCP (Top, 10 nm)","DCP (Top, 15 nm)","DMMP (Saturated, 5 nm)","DMMP (Saturated, 10 nm)","DMMP (Saturated, 15 nm)","DMMP (Bottom, 5 nm)","DMMP (Bottom, 10 nm)","DMMP (Bottom, 15 nm)","DMMP (Middle, 5 nm)","DMMP (Middle, 10 nm)","DMMP (Middle, 15 nm)","DMMP (Top, 5 nm)","DMMP (Top, 10 nm)","DMMP (Top, 15 nm)","EtOH (Saturated, 5 nm)","EtOH (Saturated, 10 nm)","EtOH (Saturated, 15 nm)","EtOH (Bottom, 5 nm)","EtOH (Bottom, 10 nm)","EtOH (Bottom, 15 nm)","EtOH (Middle, 5 nm)","EtOH (Middle, 10 nm)","EtOH (Middle, 15 nm)","EtOH (Top, 5 nm)","EtOH (Top, 10 nmm)","EtOH (Top, 15 nm)","MeOH (Saturated, 5 nm)","MeOH (Saturated, 10 nm)","MeOH (Saturated, 15 nm)","MeOH (Bottom, 5 nm)","MeOH (Bottom, 10 nm)","MeOH (Bottom, 15 nm)","MeOH (Middle, 5 nm)","MeOH (Middle, 10 nm)","MeOH (Middle, 15 nm)","MeOH (Top, 5 nm)","MeOH (Top, 10 nm)","MeOH (Top, 15 nm)","Water (Saturated, 5 nm)","Water (Saturated, 10 nm)","Water (Saturated, 15 nm)","Water (Bottom, 5 nm)","Water (Bottom, 10 nm)","Water (Bottom, 15 nm)","Water (Middle, 5 nm)","Water (Middle, 10 nm)","Water (Middle, 15 nm)","Water (Top, 5 nm)","Water (Top, 10 nm)","Water (Top, 15 nm)"
660.1,0,-0.190550199,-0.166057315,-0.180354443,0.013307983,0.110476622,0.193644901,-0.158026292,-0.200007693,-0.258151078,-0.145780888,-0.157881636,-0.172249584,-0.255151117,-0.231413,-0.247809143,-0.07897057,0.00394742,0.074919719,-0.218452576,-0.253347773,-0.303689779,-0.214378816,-0.22404684,-0.236026748,0.055957426,0.085942724,0.064596946,0.278855011,0.373624299,0.478157904,0.065336474,0.013898202,-0.032206116,0.112403562,0.092879295,0.036465184,0.010499689,0.027172302,0.011422515,0.205574722,0.286022498,0.371590123,0.060070195,0.020925926,-0.031736745,0.05836255,0.042140941,0.036579281,0.010441649,0.034249377,0.011157911,0.218667289,0.297513126,0.374790841,0.066682422,0.026156314,-0.033607715,0.066682422,0.049515218,0.03610682
660.2,0,-0.191781621,-0.167399865,-0.181995847,0.011726633,0.108611485,0.191647546,-0.158854279,-0.200821424,-0.258980705,-0.146954423,-0.159099663,-0.173468806,-0.256300949,-0.232621474,-0.249222022,-0.080450878,0.002238672,0.07310523,-0.219227442,-0.254120354,-0.304488847,-0.215489935,-0.225168036,-0.237138978,0.054407191,0.084470162,0.062880839,0.276890576,0.371365425,0.475690986,0.064385546,0.012957873,-0.033137464,0.110861576,0.091315191,0.035025029,0.009068421,0.025710827,0.009748863,0.203804721,0.283964172,0.369380218,0.059145858,0.019981521,-0.032680767,0.056935411,0.0406926,0.035154647,0.009013747,0.03275002,0.009486679,0.216844974,0.295411023,0.372586514,0.065726104,0.025194078,-0.034545503,0.065726104,0.048071418,0.034672328
660.3,0,-0.192992957,-0.168741101,-0.183617705,0.010131793,0.106753252,0.189659258,-0.159627765,-0.201634081,-0.259798999,-0.148131363,-0.160292567,-0.174664128,-0.257413764,-0.233808195,-0.250609314,-0.0819074,0.000549383,0.071291958,-0.220016987,-0.254898988,-0.305250654,-0.216592155,-0.226306005,-0.238265383,0.052871621,0.0830013,0.061184422,0.274933948,0.369115807,0.473295934,0.063464608,0.012018241,-0.034060448,0.109340176,0.08977971,0.033608711,0.007669678,0.0242382,0.008109364,0.202030342,0.281937245,0.367198593,0.058191659,0.019038628,-0.033606592,0.055533445,0.03929225,0.033732941,0.007626218,0.031274695,0.007840795,0.215033784,0.293368082,0.370395279,0.064766528,0.024229338,-0.035464652,0.064766528,0.046635389,0.03325384
660.4,0,-0.194223273,-0.170058374,-0.185226127,0.008548937,0.104905227,0.187653951,-0.160435246,-0.202432787,-0.260635472,-0.149310599,-0.161510293,-0.175855513,-0.258544114,-0.235026143,-0.252003161,-0.083369738,-0.001159615,0.069462603,-0.220794732,-0.255680281,-0.306006982,-0.217703371,-0.227444862,-0.239382935,0.051309245,0.081519575,0.059490631,0.272984376,0.366871344,0.470850626,0.062513872,0.011070147,-0.034979762,0.107809424,0.088217686,0.032185523,0.006255621,0.022764563,0.006468714,0.200248617,0.279893258,0.365006221,0.057251847,0.018101053,-0.034513571,0.05413135,0.037868835,0.032319532,0.00620716,0.029795303,0.006186419,0.213232139,0.291303099,0.368195,0.063814795,0.023265002,-0.036388992,0.063814795,0.045187904,0.031840804
660.5,0,-0.195422348,-0.171389285,-0.186834911,0.006947573,0.10303956,0.185673476,-0.161266337,-0.203271978,-0.261460771,-0.150494815,-0.162724882,-0.177071203,-0.25965754,-0.236201172,-0.253381853,-0.084838156,-0.002853274,0.067646001,-0.221596015,-0.256470203,-0.306772825,-0.218808365,-0.228578953,-0.240508918,0.049755954,0.080029743,0.05778174,0.27101088,0.364623655,0.468408288,0.061562658,0.010117803,-0.035906886,0.106264154,0.086644551,0.030758933,0.004851739,0.021316708,0.004836695,0.198462131,0.277863603,0.362812927,0.056293509,0.017140595,-0.035440653,0.052712345,0.036439186,0.030889724,0.004793893,0.028304784,0.004527425,0.211398388,0.289226263,0.366016264,0.062839472,0.022295084,-0.037307616,0.062839472,0.043749269,0.030416361
660.6,0,-0.196621943,-0.172713404,-0.188424633,0.005382125,0.101199527,0.183686807,-0.162075045,-0.204083421,-0.262283669,-0.151663773,-0.163935862,-0.178267484,-0.260776704,-0.237393492,-0.254732956,-0.086316897,-0.004558387,0.065843255,-0.222388711,-0.257249193,-0.307553611,-0.219921372,-0.229703034,-0.241628162,0.048245611,0.078597105,0.056122864,0.269060139,0.362373662,0.465974728,0.060631457,0.009167298,-0.036823594,0.104750454,0.085095047,0.029352745,0.003447237,0.01986204,0.003218688,0.196668811,0.275809959,0.360622508,0.055352262,0.016208817,-0.036356886,0.051297763,0.035017659,0.02946168,0.00339616,0.026819833,0.002909788,0.20959837,0.287178712,0.363805227,0.061881835,0.021336177,-0.038214507,0.061881835,0.042306245,0.028997416
660.7,0,-0.197832349,-0.174018606,-0.189998161,0.003789397,0.099363462,0.181706357,-0.162880755,-0.204885815,-0.263096241,-0.152843907,-0.165130378,-0.179460951,-0.261887255,-0.238567912,-0.25609308,-0.087768922,-0.006251165,0.064029285,-0.22314723,-0.258022409,-0.308314465,-0.221033663,-0.230823947,-0.242732019,0.046689732,0.077134433,0.05448368,0.26711848,0.360124281,0.463539235,0.059688097,0.008236927,-0.037736143,0.103219467,0.083577471,0.027944303,0.002075478,0.018419119,0.001610831,0.194917542,0.273807998,0.35844608,0.054407018,0.015261244,-0.037270649,0.049899019,0.033609023,0.028064747,0.002020689,0.025379667,0.001276846,0.207786944,0.285119274,0.361622622,0.060907877,0.020388182,-0.039133862,0.060907877,0.040876082,0.027578456
660.8,0,-0.199003269,-0.175311386,-0.19157609,0.002220458,0.097510216,0.1797287,-0.16367909,-0.205715165,-0.263908114,-0.154017094,-0.166345455,-0.180635639,-0.262978781,-0.239735315,-0.257451354,-0.089236453,-0.007940142,0.062216517,-0.223953496,-0.258805091,-0.30906948,-0.22213545,-0.231962926,-0.243851079,0.045182448,0.075702558,0.052829332,0.265158554,0.357901757,0.461134062,0.058734795,0.007306527,-0.038652514,0.101690071,0.082022424,0.026530624,0.000694983,0.016995991,-2.31061E-06,0.193139266,0.271763715,0.35627365,0.053463749,0.01431941,-0.038193056,0.048477376,0.032178544,0.02666019,0.000649289,0.023918943,-0.000339687,0.205967051,0.283059166,0.359442358,0.059925494,0.019406524,-0.040064832,0.059925494,0.03942752,0.026172464
660.9,0,-0.200196407,-0.176605588,-0.193119298,0.000641106,0.095654517,0.177741941,-0.16451463,-0.206516057,-0.264725736,-0.155196604,-0.167536687,-0.181819766,-0.264097372,-0.240886477,-0.258779231,-0.090684375,-0.009626915,0.060413824,-0.224736172,-0.259590518,-0.309825241,-0.223235983,-0.233074723,-0.244955512,0.043670177,0.074264751,0.051185749,0.263212416,0.35565487,0.458715743,0.057787479,0.006360374,-0.039577643,0.100176769,0.080491523,0.025138294,-0.000703713,0.015558743,-0.001581285,0.191367588,0.269764383,0.354085499,0.052497725,0.013375556,-0.039109262,0.047084065,0.030762664,0.025254012,-0.000751581,0.022486073,-0.001920123,0.204164596,0.281017334,0.357252291,0.058964547,0.018448146,-0.040973649,0.058964547,0.038001658,0.024778871
661,0,-0.201386573,-0.177896451,-0.194663092,-0.000935672,0.09381598,0.175770068,-0.165313889,-0.207322285,-0.265537218,-0.156365149,-0.168749264,-0.183015122,-0.265183429,-0.242031561,-0.260112391,-0.092157311,-0.011308542,0.058614752,-0.225533717,-0.260359792,-0.310587038,-0.224350785,-0.234203485,-0.24606278,0.042184245,0.072820934,0.04955238,0.261273523,0.353424445,0.456324362,0.056842682,0.005410628,-0.040485555,0.098648581,0.078953849,0.023729322,-0.002053293,0.014151597,-0.003141294,0.18961282,0.267739841,0.351933963,0.051536643,0.012440195,-0.040016916,0.045693447,0.029349616,0.02385301,-0.002105361,0.021016574,-0.003504964,0.20238277,0.278960476,0.355091572,0.058010581,0.017499125,-0.041880994,0.058010581,0.036569625,0.023387699
661.1,0,-0.202557781,-0.179171821,-0.196189372,-0.002521645,0.09198295,0.173807439,-0.166133538,-0.208127117,-0.266336992,-0.157532132,-0.169952978,-0.184190317,-0.266264788,-0.243210772,-0.261430364,-0.093600109,-0.012991759,0.056820938,-0.226323025,-0.261131376,-0.31133843,-0.225435811,-0.235328143,-0.247161068,0.040704466,0.071421494,0.047960802,0.259315942,0.351192525,0.45390355,0.055888587,0.004483401,-0.041371912,0.097132225,0.077417297,0.022334432,-0.003400218,0.012740375,-0.004719619,0.187840715,0.265721482,0.349767967,0.050588966,0.011488678,-0.040921237,0.044276902,0.027948288,0.022443876,-0.003468343,0.019593305,-0.005079974,0.200566035,0.276922819,0.352927219,0.057015753,0.016522859,-0.042785639,0.057015753,0.035140241,0.021971399
