Wavelength (nm),N2 Baseline,0.02P DCM,0.05P DCM,0.10P DCM,0.20P DCM,0.30P DCM,0.02P DCM,0.05P DCM,0.10P DCM,0.20P DCM,0.30P DCM,0.02P DCP,0.05P DCP,0.10P DCP,0.20P DCP,0.30P DCP,0.02P DCP,0.05P DCP,0.10P DCP,0.20P DCP,0.30P DCP,0.02P EtOH,0.05P EtOH,0.10P EtOH,0.20P EtOH,0.30P EtOH,0.02P EtOH,0.05P EtOH,0.10P EtOH,0.20P EtOH,0.30P EtOH,0.02P MeOH,0.05P MeOH,0.10P MeOH,0.20P MeOH,0.30P MeOH,0.02P MeOH,0.05P MeOH,0.10P MeOH,0.20P MeOH,0.30P MeOH,0.02P Water,0.05P Water,0.10P Water,0.20P Water,0.30P Water,0.02P Water,0.05P Water,0.10P Water,0.20P Water,0.30P Water
603.803,0,-10.54017669,-16.07407525,-10.53164235,-10.61984584,-10.80378359,-0.411556718,0.00307843,-1.194650569,0.446518883,-0.649695235,0.582955565,0.295308446,0.504441989,-0.867327438,-1.256054409,1.963524831,-0.355267818,0.495940282,2.588433748,3.69757912,-4.333354742,-12.30375739,-16.44958438,-20.12939305,-22.21094749,-1.169553474,-3.778896742,-2.303588894,-1.86069744,-3.985200561,-5.719801776,-11.64374864,-12.01858877,-15.18105294,-15.7179763,-2.023211925,-2.735844011,-3.970476998,-3.452678387,-1.1480658,1.806025502,5.848751994,9.438879603,16.38480981,13.79251608,-3.940268809,-4.465877046,-4.309926511,-5.078082083,-5.593085074
604.155,0,-3.547021276,-11.67151954,-10.2056941,-9.031461482,-8.889558166,1.643441409,-0.682244234,-1.975745203,-2.645643785,0.219208805,1.09049891,0.114505073,0.827144582,1.217131996,0.827800325,-2.21569059,-1.103182803,1.223288586,1.504231677,1.565925766,-0.841381844,-9.138414192,-13.85298631,-17.87504532,-20.19724469,-0.46735854,-2.471634704,-4.108018659,-2.681002449,-3.571240909,-1.072612393,-6.770618588,-8.743592244,-11.48611833,-12.75110961,0.406553842,-0.855157011,-1.109686363,-3.072450374,-2.826546526,2.77445745,6.692548105,13.44073392,18.54321657,19.57170467,-1.712722767,-3.164237156,-3.778692215,-3.950996483,-3.426515746
604.507,0,0.198347875,-7.095542979,-7.718265866,-7.766615399,-8.179789109,-0.983501671,-2.80557852,-0.664390209,-1.790805507,-1.343876928,3.009442572,1.641207416,3.212776021,3.43178244,4.728174726,0.697483802,1.394893159,1.239524529,-0.131322599,1.168652015,1.356469452,-6.715310086,-11.33245689,-16.05032934,-18.40744876,-0.712273349,-0.177771309,-0.659253836,-0.930663249,-1.748975624,3.39514449,-2.955874292,-6.489443605,-9.642980514,-11.19046802,-0.893624916,-1.01010101,-1.342131012,-1.480085513,-1.156677668,1.710467002,7.063020299,14.70101958,22.78657846,25.72280291,-1.191374449,-2.679981549,-4.2178474,-5.564253268,-3.519518685
604.858,0,3.20384613,-2.357852199,-4.80863728,-6.789049257,-6.148463971,2.353755242,0.17022556,0.433375116,0.857465201,0.981339299,4.86886074,4.167888261,4.766920729,5.616132046,5.272888737,2.177022064,1.424074959,3.346864883,2.268365647,4.712143972,3.618497521,-5.286724946,-9.261697931,-13.89478031,-16.10756886,-0.019446619,-1.593964822,-2.289071804,-3.883036626,-5.112560104,5.941857603,0.473485755,-4.786046179,-7.89342583,-9.520367362,-0.097716772,-1.37371066,-1.317872505,-2.286603138,-1.365120175,1.587610807,7.399281046,13.67151978,24.68330105,30.30243634,-3.302516107,-5.730871829,-4.527160055,-6.666562378,-4.897458417
605.21,0,6.094375692,1.495381067,-3.413435558,-4.356241926,-3.814750279,-2.020334963,-1.655709505,-3.061707534,-2.583158733,-2.482113681,4.702797297,5.341530393,5.911637663,6.019426884,7.033876401,0.916343028,2.224157973,1.790314804,2.665321829,2.558617263,7.488999909,-3.18361938,-6.98431418,-10.52621406,-14.76509215,-0.499810162,-2.152284145,0.328442489,-3.264927971,-1.319926879,9.923718895,4.031567512,-1.030861172,-6.201243263,-7.013558035,-0.569448683,-2.521135379,-1.158969023,-3.946523694,-3.175907397,0.081789142,5.195513831,14.51729383,25.83126718,31.41380155,-1.315704958,-1.604299643,-3.390688788,-3.408464548,-4.835006595
605.561,0,11.208674,6.530548603,0.2331312,-2.10038329,-2.763913392,1.892474115,-0.033442589,-3.077442033,0.751155289,-1.115983531,7.158507957,6.386483752,7.586293601,8.647970074,9.581122151,1.046078591,0.415933912,2.329126458,-0.260762262,1.94215792,10.82193949,1.238887022,-4.393781695,-8.627309108,-11.94129751,1.981921139,0.420949511,-2.13666016,-3.249742102,-2.589819137,14.49564597,10.27582402,2.70378841,-1.953559469,-2.528198321,-1.477382716,-2.404811124,-3.504644651,-2.257560933,-3.266986898,1.71626148,6.168830566,14.14026866,27.74229683,36.60728159,-0.208912218,-3.265423544,-4.011419012,-3.914459389,-4.524072091
605.913,0,18.92514514,15.82702598,5.22170113,1.682845252,1.034893553,0.206374268,-2.004569017,-2.635568472,-3.69503556,-3.119856362,6.812916805,5.01806168,7.273723396,9.135902494,10.88132456,0.538361655,0.94753409,2.216137081,1.439829974,3.014048962,12.24979898,4.675810846,-1.26437441,-5.825106554,-8.610262896,-1.346268551,-2.972306507,-4.221640261,-4.721604559,-5.516412201,17.29590307,15.65830049,8.397956391,2.91736613,1.517305513,-2.783253512,-3.847558514,-2.74799151,-3.23551091,-3.260401735,2.402306825,6.526824079,14.74495682,25.6688327,38.55802094,-2.664881003,-2.615158656,-2.967432603,-3.488555351,-4.827285138
606.264,0,19.07932264,19.30272153,6.771863912,3.63512352,2.027075098,-1.056215879,-1.591658168,-3.656468792,-4.167509595,-4.033197144,7.630638867,7.210440776,7.84642889,9.842289352,11.34250358,1.320297682,1.991266221,1.782085376,2.745774613,1.266714411,19.28304535,10.74374215,4.362646082,-2.296219982,-5.200124379,0.548380324,-1.437500409,-2.769291574,-1.514875216,-5.666741983,22.20015349,21.47174747,16.07764076,9.102187695,7.147395587,-0.432571149,-2.233487199,-2.986021075,-2.669184292,-2.356515435,1.053902454,3.450137515,8.600010179,22.14157284,34.090122,-0.597418273,-1.93376818,-3.280523481,-3.654151455,-3.162942527
606.616,0,22.44325664,27.15446172,9.938526335,7.290005573,6.07113801,0.207945561,-1.522471139,-1.501782139,-1.557937996,-2.308793881,7.172408185,6.564421252,9.44407803,9.459891359,10.97593844,-0.052190695,2.434714185,2.208797818,1.011915537,3.280057461,20.47449129,13.33101038,7.357510605,0.33226541,-4.197707571,-0.685036665,-3.806941486,-4.845886388,-2.658953429,-4.453916592,26.08319395,23.95157001,18.91116878,12.70734505,10.75152806,1.832109603,2.228956719,-1.628400248,-2.556526159,-0.087121925,0.390673876,1.338619644,7.446667602,18.30317042,30.79571313,0.899622575,0.473182535,0.666213131,0.55272811,-1.199774545
606.967,0,25.91123034,31.86812983,13.77751121,10.63613325,8.928673386,1.133713544,-0.05039668,-1.097080663,0.750232926,-1.9066038,6.531936723,6.269939633,7.304653225,9.384588805,10.74419759,-1.561702853,1.606655236,1.22398916,-0.629476062,2.03727052,20.50206975,14.76270508,7.837143421,3.56448149,-2.259960249,-0.524612522,-1.020143574,-1.249786903,-2.161555443,-3.005132951,27.8604355,30.77479682,26.0709681,18.25934508,15.47232204,-2.022359889,-2.696118627,-4.009247386,-3.610670616,-4.363321112,0.84214557,-0.000817747,2.620930403,12.31317021,21.52351189,0.30268135,0.108521065,0.167030018,-2.386941696,-2.645797231
